artist_id,artist_name,genres,gender,category
4Gso3d4CscCijv0lmajZWs,Don Toliver,"pop rap,rap,trap",male,Solo Act
6Gp1AegbZ89bXSSkWUV0UA,TANO77,,,Unknown
4eYnorQRhVHT2KBl2UyHHd,Vegedream,"french hip hop,pop urbaine,r&b francais",male,Solo Act
4gzpq5DPGxSnKTe4SA8HAU,Coldplay,"permanent wave,pop",,Band
0tMFcqLXhtm1Gep20iuIR3,SXTN,"deep german hip hop,frauenrap,german hip hop",,Band
6nmPEfmMifqDM0BN5C8qXk,MOHAMS,,,Unknown
0TKFPt9w0AAEnhB9bd0pLy,LUM!X,"melbourne bounce international,slap house",male,Solo Act
6zcWVbyNT0z94MBffsTJGP,KAMRAD,german indie folk,male,Solo Act
7i9j813KFoSBMldGqlh2Z1,Riton,"house,pop dance,uk dance",male,Solo Act
20cmhoGvN0eyzhmsHJH1Mg,Luude,aussietronica,male,Solo Act
0pWwt5vGNzezEhfAcc420Y,Mr.Kitty,weirdcore,male,Solo Act
7fObcBw9VM3x7ntWKCYl0z,Colby O'Donis,,male,Solo Act
2NJWI8byqTSqDaJRnqJY2z,KALIM,"german hip hop,hamburg hip hop",male,Solo Act
3drqpTL4sQOckmAfF9i1wg,Summer Cem,german hip hop,male,Solo Act
4tZwfgrHOc3mvqYlEYSvVi,Daft Punk,"electro,filter house,rock",,Band
3iMzbvXlgNUpoFccD60bvr,Prezioso,italo dance,,Unknown
6iNTGd6T0cxg1H8IIaZTlt,Thrife,"swedish gangsta rap,swedish hip hop,swedish trap,swedish trap pop",male,Solo Act
3PWVGBibvYW9YfZX6ayYq8,KLAN,"german indie,german pop",,Band
4L2dV3zY7RmkeiNO035Fi0,Mufasa & Hypeman,pop dance,,Band
0RMeG9M8QFzss9bAbq99KA,Maddix,big room,male,Solo Act
5ENS85nZShljwNgg4wFD7D,Gabry Ponte,"eurodance,italo dance,slap house",male,Solo Act
5mxB08ktCukEhGMg2YZeEv,Colin Hay,solo wave,male,Solo Act
1gALaWbNDnwS2ECV09sn2A,Nightcrawlers,"disco house,hip house,vocal house",,Band
0r0R5nIjDY04TfxRM10Bcb,Alligatoah,german pop,male,Solo Act
3EOEK57CV77D4ovYVcmiyt,Dennis Lloyd,israeli pop,male,Solo Act
5KORW1YGiERJqfuYjXMCyz,Mattafix,reggae fusion,,Band
2yh2yg3b2viRskto7M1cx7,TM,"german drill,german hip hop",,Band
3Edve4VIATi0OZngclQlkN,Dopamine,,,Band
4XC335ouK6pXyq4QiIb8bP,Eliza Rose,house,female,Solo Act
6LuN9FCkKOj5PcnpouEgny,Khalid,"pop,pop r&b",male,Solo Act
6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,"art pop,pop",female,Solo Act
3Z02hBLubJxuFJfhacLSDc,Bryan Adams,"canadian pop,canadian singer-songwriter,classic canadian rock,heartland rock,mellow gold,soft rock",male,Solo Act
5jNmxPYz8QE5rYp4GDil8t,Dina Rae,,,Unknown
1Oa0bMld0A3u5OTYfMzp5h,Nate Dogg,"g funk,gangster rap,hardcore hip hop,hip hop,west coast rap",male,Solo Act
4lgrPvofm0IT605L9OrOTN,Jengi,dutch pop,male,Solo Act
4sg4no0TXdsrM1s4SVUwNF,Juju,"frauenrap,german hip hop,german pop",female,Solo Act
6uJ51uV5rYzu1MJkC4CceI,Interplanetary Criminal,"breaks,experimental house",male,Solo Act
6dKYo2aegt1Cpez6tyd2ai,Lorenz Büffel,"discofox,partyschlager",male,Solo Act
7ja62ZARrm20k4Sowt0ab8,Silva,german hip hop,male,Solo Act
0Y5tJX1MQlPlqiwlOH1tJY,Travis Scott,"hip hop,rap,slap house",male,Solo Act
3tN4jv8IaO9UAKTWqpXaV4,Mia Julia,"partyschlager,schlager",female,Solo Act
0C0XlULifJtAgn6ZNCW2eu,The Killers,"alternative rock,dance rock,modern rock,permanent wave,rock",,Band
7GgR71h3yQSxU4bwfX9gRd,Malle Anja,partyschlager,,Band
5y8tKLUfMvliMe8IKamR32,d4vd,bedroom pop,male,Solo Act
0Ol3Jol2T3lZZVLNNzWPhj,R.I.O.,german dance,,Band
47mIJdHORyRerp4os813jD,League of Legends,"speedrun,video game music",,Unknown
5iIl7sknJm4dw34xfsL667,skrilla,,,Unknown
10exVja0key0uqUkk6LJRT,Vance Joy,"folk-pop,modern rock",male,Solo Act
2DysK49GjODUdRupTMZrfb,Schmyt,german hip hop,male,Solo Act
5hKGLu4Ik88FzWcTPhWNTN,INTERWORLD,phonk brasileiro,,Unknown
7oWrEQO1d3klp0Qrfh7a5h,badmómzjay,"frauenrap,german drill,german hip hop",female,Solo Act
1Zj4GtouAnxHq4qw7ooLfm,Mert Demir,turkish alt pop,male,Solo Act
6U3ybJ9UHNKEdsH7ktGBZ7,JID,"hip hop,pop rap,rap,underground hip hop",male,Solo Act
1dpqJqIuNqideTvmxBsSku,Mabel Matiz,turkish pop,male,Solo Act
0MZ55DwuMQ1B2TXq9lcrE4,Kraftklub,"german indie,german pop,german rock",,Band
57nPqD7z62gDdq37US9XJR,Arcane,,male,Solo Act
18ISxWwWjV6rPLoVCXf1dz,RIN,"german cloud rap,german hip hop",,Solo Act
5KNNVgR6LBIABRIomyCwKJ,Dermot Kennedy,"folk-pop,irish pop,uk pop",male,Solo Act
3OqTvcWgb0xaainosGVvuZ,Gala,"eurodance,italo dance",female,Solo Act
5ISjkNS17JpCwiFtW80lpV,Seeed,"german pop,german reggae",,Band
2NJXWjY61CLRVARkqDJeRm,Deeperlove,hypertechno,male,Solo Act
2jzc5TC5TVFLXQlBNiIUzE,a-ha,"new romantic,new wave,new wave pop,permanent wave,synthpop",,Band
60uPSVM3svOL8kZ3Wkb3Zw,Monet192,german hip hop,male,Solo Act
2WmxTCUVOyGsqn4GA7VxuC,Gustav,,male,Solo Act
5QZJttrSLq4WJL9Vb1MgFq,O.G.,german hip hop,male,Solo Act
1dfeR4HaWDbWqFHLkxsg1d,Queen,"classic rock,glam rock,rock",,Band
2FyxcdLSH7XqsfJE6Iu0tJ,Musso,german hip hop,male,Solo Act
3pOnFT5MHIqIe9kcFCznZ8,CIVO,german hip hop,male,Solo Act
5wyWp867LWGjFmYZXVSFnZ,MERO,german hip hop,male,Solo Act
0z4gvV4rjIZ9wHck67ucSV,Akon,dance pop,male,Solo Act
3pVfscwg2QxhdHtk966inb,The Cratez,german hip hop,,Band
4buOxWb52Ct3BVQQA2R0YM,LIKA,,female,Solo Act
4lR4w01uPOblBqpIAzuCzL,Noah,german hip hop,,Band
360IAlyVv4PCEVjgyMZrxK,Miguel,"r&b,urban contemporary",male,Solo Act
4Jd9XCHzRXTB7ZPPVzJoUm,Milano,german hip hop,male,Solo Act
0VlrorDSkEbLK1D6VvMgd2,Rubi,"german pop,hypertechno",female,Solo Act
2jku7tDXc6XoB6MO2hFuqg,Tory Lanez,"canadian hip hop,canadian trap,melodic rap,pop rap,r&b,rap,trap",male,Solo Act
1H2agrqo1Y8alTi5Wde6UG,FABE BROWN,,male,Solo Act
